Date,Open,High,Low,Close,Volume
5-Dec-16,110,110.03,108.25,109.11,34324540
2-Dec-16,109.17,110.09,108.85,109.9,26527997
1-Dec-16,110.36,110.94,109.03,109.49,37086862
30-Nov-16,111.6,112.2,110.27,110.52,36162258
29-Nov-16,110.78,112.03,110.07,111.46,28528750
28-Nov-16,111.43,112.46,111.39,111.57,27193983
25-Nov-16,111.47,111.87,110.95,111.79,11475922
23-Nov-16,111.36,111.51,110.33,111.23,27426394
22-Nov-16,111.95,112.42,111.4,111.8,25965534
21-Nov-16,110.12,111.99,110.01,111.73,29264571
18-Nov-16,109.72,110.54,109.66,110.06,28428917
17-Nov-16,109.81,110.35,108.83,109.95,26964598
16-Nov-16,106.7,110.23,106.6,109.99,58840522
15-Nov-16,106.57,107.68,106.16,107.11,32264510
14-Nov-16,107.71,107.81,104.08,105.71,51175504
11-Nov-16,107.12,108.87,106.55,108.43,34143898
10-Nov-16,111.09,111.09,105.83,107.79,57134541
9-Nov-16,109.88,111.32,108.05,110.88,59176361
8-Nov-16,110.31,111.72,109.7,111.06,24254179
